car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BJ63,BLK 443 FAJAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2060606638439968,103.94441478830996
BJ65,BLK 632 SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N,1.1944565752476035,103.94778135824751
BJ66,BLK 634 SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1933909756664172,103.94931576564802
BJ67,BLK 636 SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.193673059719885,103.95041001624467
BJ68,BLK 422A FAJAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2057376072412491,103.9484546843598
BJ69,BLK 643 SENJA CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.198795724543431,103.95090883023138
BJ70,BLK 646 SENJA CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.1994976317467554,103.9525938115124
BJ71,BLK 642 SENJA CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.1976325313519212,103.95006406597302
BJ72,BLK 638 SENJA CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.1965807881390167,103.95192804643412
BJ8,BLK 201/218 PETIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2093867467844657,103.93784186235006
